,timeStamps,Predicted pupil (z),Predicted pupil - luminance (z),Predicted pupil - contrast (z)
0,0.0,2.730068797989016,2.722316668709304,1.1748062299242552
1,0.04,2.730068797989016,2.722316668709304,1.1748062299242552
2,0.08,2.730068797989016,2.722316668709304,1.1748062299242552
3,0.12,2.730068797989016,2.722316668709304,1.1748062299242552
4,0.16,2.730068797989016,2.722316668709304,1.1748062299242552
5,0.2,2.730068797989016,2.722316668709304,1.1748062299242552
6,0.24,2.582750697703408,2.7220235743270798,0.6227231723907668
7,0.28,2.314014027442425,2.6905533352337265,-0.28126436815005906
8,0.32,1.937874196061749,2.4540139626338946,-0.9048999307987156
9,0.36,1.2410853878542467,1.8155655131475559,-1.392615534922675
10,0.4,0.31545809273644865,0.8931575541471976,-1.7929024443430126
11,0.44,-0.5416317380263501,0.03063839403116025,-2.1355160666425355
12,0.48,-1.1466125402974832,-0.5636262619071972,-2.425846347171009
13,0.52,-1.5124231922766262,-0.9018655404000638,-2.671704528510856
14,0.56,-1.7318081044729239,-1.08580236696987,-2.8821942677228374
15,0.6,-1.8781173959634037,-1.2001308391697263,-3.0503721399924597
16,0.64,-1.990228040344666,-1.289163668865705,-3.174480624855605
17,0.68,-2.0852493720618503,-1.3670126140090524,-3.271712209796137
18,0.72,-2.1610461085668384,-1.4290284210147548,-3.3495481518257235
19,0.76,-2.2095553956056255,-1.464825746861587,-3.4123367796820343
20,0.8,-2.226321476442526,-1.4692842001463573,-3.4604183103572166
21,0.84,-2.2137870292791426,-1.444969169791588,-3.4944117238607197
22,0.88,-2.1790106207400277,-1.3992573505791528,-3.516227233026186
23,0.92,-2.1299374677981024,-1.3407526304281974,-3.527013060165201
24,0.96,-2.073067897413558,-1.276356634693066,-3.5281672454836146
25,1.0,-2.0122640134761673,-1.2101513379867894,-3.5205822761156145
26,1.04,-1.9488878658650444,-1.1439963175839418,-3.5031729542560965
27,1.08,-1.8836671472041697,-1.0787043941743504,-3.475961773483192
28,1.12,-1.817170586842154,-1.0152844012248576,-3.4377210732208936
29,1.16,-1.7491035271046644,-0.9553716646112012,-3.3818935665225625
30,1.2,-1.6842183289687238,-0.901279270704659,-3.3186102283110066
31,1.24,-1.6254727698781788,-0.8571326744578671,-3.245223598569522
