,timeStamps,Actual pupil (z),Predicted pupil (z),Predicted pupil - luminance (z),Predicted pupil - contrast (z)
0,0.0,0.7395232794415675,1.9316382749507952,1.8141538935751091,1.333702491661971
1,0.016,0.7878694668677722,1.9316382749507952,1.8141538935751091,1.333702491661971
2,0.032,0.513907738119279,1.9316382749507952,1.8141538935751091,1.333702491661971
3,0.05,0.3957281688552231,1.9316382749507952,1.8141538935751091,1.333702491661971
4,0.066,0.32589478701737196,1.9316382749507952,1.8141538935751091,1.333702491661971
5,0.082,0.21845881495913932,1.9316382749507952,1.8141538935751091,1.333702491661971
6,0.1,0.15399723172419974,1.9316382749507952,1.8141538935751091,1.333702491661971
7,0.116,0.10027924569508344,1.9316382749507952,1.8141538935751091,1.333702491661971
8,0.132,0.046561259665967136,1.9316382749507952,1.8141538935751091,1.333702491661971
9,0.15,0.01433046804849735,1.9316382749507952,1.8141538935751091,1.333702491661971
10,0.166,-0.028643920774795696,1.9316382749507952,1.8141538935751091,1.333702491661971
11,0.182,-0.06087471239226548,1.9316382749507952,1.8141538935751091,1.333702491661971
12,0.2,-0.082361906803912,1.9310523567132782,1.813464295912788,1.3337024588803037
13,0.216,-0.0984773026126469,1.9210538804450186,1.80169670974195,1.3337014905735136
14,0.232,-0.11459269842138178,1.8807201598737946,1.754227229477478,1.3336952436358387
15,0.25,-0.12533629562720505,1.7903258325675895,1.6478432258298816,1.3336733921350725
16,0.266,-0.13070809423011667,1.6431675161716242,1.4746612069628064,1.3336179429976533
17,0.282,-0.14145169143593994,1.4474727229792803,1.2443738819084902,1.3335022901858666
18,0.3,-0.13047066073186775,1.2215671424472603,0.9785623125919847,1.3332908609626124
19,0.316,-0.1253072879147493,0.9869327926097566,0.7025255109037147,1.332939250447696
20,0.332,-0.11492789865420361,0.7625456347563175,0.43861579172853815,1.3323947498720623
21,0.35,-0.09954951361378762,0.5618236953918645,0.20264651339609083,1.3315971789543446
22,0.366,-0.08484367775845712,0.39196436053709655,0.003111727385523792,1.330479944849922
23,0.382,-0.07128310936526693,0.2548311805391395,-0.1577704967240607,1.3289712583611595
24,0.4,-0.059930887377733874,0.14854370996065386,-0.2821873260941134,1.3269954427848571
25,0.416,-0.05556254075384586,0.069104722908901,-0.37481644196402,1.3244742785238037
26,0.432,-0.07161830959808874,0.011658050493721818,-0.4413460628533278,1.3213283439528067
27,0.45,-0.08773370540682364,-0.028639322384525982,-0.48744895999497195,1.3174783171773303
28,0.466,-0.12533629562720505,-0.056048164126417284,-0.5181130742481882,1.3128462040655942
29,0.482,-0.15756708724467483,-0.07402944121289133,-0.5373858509617547,1.307356473885865
30,0.5,-0.22740046908252604,-0.0853382680245386,-0.5484851726800011,1.3009370943333207
31,0.516,-0.24351586489126092,-0.09207551820824607,-0.5538604190355081,1.2935204455658929
32,0.532,-0.2918620523174656,-0.09529723975986744,-0.5547330163961298,1.2850440660977323
33,0.55,-0.3079774481262005,-0.09442073103160692,-0.5503975789326507,1.27545115385432
34,0.566,-0.3455800383465819,-0.08711303109014347,-0.5380907411844359,1.2646907874675373
35,0.582,-0.3778108299640517,-0.0700346173887347,-0.5138664618580329,1.2527179058903581
36,0.6,-0.3992980243756982,-0.04003501328850915,-0.47400315572630747,1.2394931230173942
37,0.616,-0.43690061459607965,0.004918423183072401,-0.4160967492958411,1.2249824313756457
38,0.632,-0.45838780900772613,0.0649938157204257,-0.33993939170728604,1.209156870289838
39,0.65,-0.47987500341937267,0.1378052003611276,-0.2483309722942736,1.191992276718648
40,0.666,-0.4852468020222843,0.21863962111064197,-0.1468117894145189,1.173469151297026
41,0.682,-0.49599039922810756,0.3017873290425948,-0.04209693038233385,1.1535726179846668
42,0.7,-0.5067339964339308,0.38190415212653994,0.05952718926921163,1.1322924515212747
43,0.716,-0.49599039922810756,0.4547847096721202,0.15311285025609903,1.1096231550837352
44,0.732,-0.49061860062519597,0.5176504980399409,0.2353900605498121,1.0855640694857445
45,0.75,-0.47987500341937267,0.5690819408898247,0.30468654088245933,1.0601194881219664
