,0,1,2,3
0,0.0,459.0,481.0,6371.0
1,0.002,459.0,482.0,6371.0
2,0.004,459.0,483.0,6371.0
3,0.006,459.0,483.0,6371.0
4,0.008,459.0,483.0,6370.0
5,0.01,459.0,483.0,6370.0
6,0.012,459.0,483.0,6370.0
7,0.014,459.0,482.0,6370.0
8,0.016,459.0,482.0,6370.0
9,0.018,459.0,482.0,6370.0
10,0.02,459.0,482.0,6371.0
11,0.022,459.0,482.0,6372.0
12,0.024,459.0,481.0,6373.0
13,0.026,459.0,480.0,6375.0
14,0.028,459.0,480.0,6375.0
15,0.03,460.0,481.0,6376.0
16,0.032,460.0,481.0,6377.0
17,0.034,460.0,481.0,6379.0
18,0.036,460.0,481.0,6380.0
19,0.038,460.0,481.0,6379.0
20,0.04,460.0,481.0,6378.0
21,0.042,460.0,481.0,6379.0
22,0.044,460.0,480.0,6381.0
23,0.046,460.0,480.0,6383.0
24,0.048,460.0,481.0,6383.0
25,0.05,460.0,482.0,6382.0
26,0.052,460.0,482.0,6382.0
27,0.054,460.0,482.0,6381.0
28,0.056,460.0,482.0,6381.0
29,0.058,460.0,481.0,6382.0
30,0.06,460.0,480.0,6382.0
31,0.062,460.0,480.0,6383.0
32,0.064,460.0,480.0,6381.0
33,0.066,460.0,480.0,6381.0
34,0.068,460.0,480.0,6380.0
35,0.07,460.0,480.0,6383.0
36,0.072,460.0,479.0,6386.0
37,0.074,460.0,479.0,6390.0
38,0.076,461.0,478.0,6389.0
39,0.078,461.0,478.0,6389.0
40,0.08,460.0,478.0,6389.0
41,0.082,460.0,478.0,6389.0
42,0.084,460.0,479.0,6388.0
43,0.086,460.0,478.0,6388.0
44,0.088,460.0,478.0,6388.0
45,0.09,460.0,477.0,6389.0
46,0.092,460.0,477.0,6390.0
47,0.094,460.0,477.0,6391.0
48,0.096,460.0,477.0,6391.0
49,0.098,460.0,477.0,6390.0
50,0.1,461.0,477.0,6389.0
51,0.102,461.0,476.0,6389.0
52,0.104,461.0,477.0,6389.0
53,0.106,461.0,477.0,6388.0
54,0.108,460.0,477.0,6387.0
55,0.11,460.0,477.0,6387.0
56,0.112,460.0,477.0,6388.0
57,0.114,461.0,477.0,6390.0
58,0.116,461.0,477.0,6392.0
59,0.118,461.0,477.0,6392.0
60,0.12,461.0,477.0,6394.0
61,0.122,461.0,477.0,6395.0
62,0.124,461.0,476.0,6395.0
63,0.126,461.0,476.0,6395.0
64,0.128,461.0,476.0,6395.0
65,0.13,461.0,475.0,6395.0
66,0.132,461.0,475.0,6395.0
67,0.134,462.0,475.0,6395.0
68,0.136,462.0,475.0,6394.0
69,0.138,462.0,476.0,6393.0
70,0.14,462.0,476.0,6392.0
71,0.142,463.0,476.0,6392.0
72,0.144,463.0,476.0,6394.0
73,0.146,463.0,476.0,6396.0
74,0.148,463.0,477.0,6397.0
75,0.15,463.0,477.0,6397.0
76,0.152,463.0,477.0,6398.0
77,0.154,463.0,477.0,6399.0
78,0.156,463.0,476.0,6399.0
79,0.158,463.0,476.0,6399.0
80,0.16,463.0,476.0,6402.0
81,0.162,463.0,476.0,6406.0
82,0.164,463.0,476.0,6409.0
83,0.166,463.0,476.0,6409.0
84,0.168,463.0,476.0,6409.0
85,0.17,463.0,475.0,6410.0
86,0.172,463.0,475.0,6410.0
87,0.174,463.0,476.0,6410.0
88,0.176,464.0,476.0,6409.0
89,0.178,464.0,477.0,6407.0
90,0.18,464.0,477.0,6406.0
91,0.182,464.0,477.0,6407.0
92,0.184,464.0,478.0,6408.0
93,0.186,464.0,478.0,6410.0
94,0.188,464.0,479.0,6409.0
95,0.19,464.0,479.0,6409.0
96,0.192,464.0,478.0,6411.0
97,0.194,464.0,478.0,6412.0
98,0.196,464.0,478.0,6413.0
99,0.198,464.0,478.0,6413.0
100,0.2,464.0,478.0,6413.0
101,0.202,464.0,478.0,6412.0
102,0.204,465.0,477.0,6413.0
103,0.206,465.0,477.0,6413.0
104,0.208,465.0,477.0,6415.0
105,0.21,465.0,477.0,6417.0
106,0.212,464.0,477.0,6417.0
107,0.214,465.0,477.0,6417.0
108,0.216,465.0,477.0,6416.0
109,0.218,466.0,477.0,6415.0
110,0.22,466.0,476.0,6415.0
111,0.222,466.0,476.0,6416.0
112,0.224,466.0,476.0,6417.0
113,0.226,466.0,476.0,6417.0
114,0.228,466.0,477.0,6417.0
115,0.23,466.0,477.0,6418.0
116,0.232,465.0,477.0,6420.0
117,0.234,465.0,478.0,6421.0
118,0.236,465.0,478.0,6419.0
119,0.238,465.0,476.0,6419.0
120,0.24,463.0,473.0,6422.0
121,0.242,460.0,470.0,6422.0
122,0.244,455.0,464.0,6421.0
123,0.246,448.0,454.0,6425.0
124,0.248,440.0,442.0,6430.0
125,0.25,429.0,427.0,6433.0
126,0.252,419.0,412.0,6428.0
127,0.254,409.0,399.0,6418.0
128,0.256,401.0,386.0,6403.0
129,0.258,394.0,374.0,6391.0
130,0.26,389.0,363.0,6378.0
131,0.262,385.0,353.0,6371.0
132,0.264,384.0,345.0,6365.0
