,0,1,2,3
0,0.0,,,
1,0.002,,,
2,0.004,,,
3,0.006,,,
4,0.008,,,
5,0.01,,,
6,0.012,,,
7,0.014,,,
8,0.016,,,
9,0.018,,,
10,0.02,,,
11,0.022,,,
12,0.024,,,
13,0.026,,,
14,0.028,,,
15,0.03,,,
16,0.032,,,
17,0.034,,,
18,0.036,,,
19,0.038,,,
20,0.04,,,
21,0.042,,,
22,0.044,,,
23,0.046,,,
24,0.048,,,
25,0.05,,,
26,0.052,,,
27,0.054,,,
28,0.056,,,
29,0.058,,,
30,0.06,,,
31,0.062,,,
32,0.064,898.0,537.0,941.0
33,0.066,898.0,537.0,942.0
34,0.068,898.0,537.0,943.0
35,0.07,898.0,537.0,941.0
36,0.072,897.0,537.0,938.0
37,0.074,897.0,536.0,936.0
38,0.076,897.0,536.0,934.0
39,0.078,897.0,536.0,934.0
40,0.08,898.0,536.0,936.0
41,0.082,898.0,536.0,936.0
42,0.084,898.0,536.0,937.0
43,0.086,898.0,536.0,940.0
44,0.088,898.0,535.0,941.0
45,0.09,898.0,535.0,938.0
46,0.092,897.0,535.0,939.0
47,0.094,897.0,535.0,936.0
48,0.096,897.0,535.0,935.0
49,0.098,897.0,535.0,936.0
50,0.1,897.0,536.0,936.0
51,0.102,897.0,536.0,937.0
52,0.104,898.0,536.0,938.0
53,0.106,898.0,536.0,939.0
54,0.108,898.0,536.0,939.0
55,0.11,898.0,536.0,937.0
56,0.112,898.0,536.0,935.0
57,0.114,898.0,536.0,934.0
58,0.116,899.0,536.0,936.0
59,0.118,899.0,536.0,936.0
60,0.12,899.0,535.0,934.0
61,0.122,899.0,535.0,934.0
62,0.124,899.0,535.0,936.0
63,0.126,899.0,535.0,936.0
64,0.128,899.0,535.0,936.0
65,0.13,899.0,535.0,937.0
66,0.132,899.0,535.0,938.0
67,0.134,899.0,535.0,939.0
68,0.136,898.0,535.0,940.0
69,0.138,898.0,535.0,940.0
70,0.14,898.0,535.0,942.0
71,0.142,899.0,535.0,940.0
72,0.144,899.0,535.0,942.0
73,0.146,899.0,535.0,942.0
74,0.148,899.0,535.0,943.0
75,0.15,899.0,535.0,943.0
76,0.152,899.0,536.0,941.0
77,0.154,899.0,535.0,941.0
78,0.156,899.0,535.0,941.0
79,0.158,899.0,535.0,942.0
80,0.16,899.0,536.0,942.0
81,0.162,900.0,536.0,942.0
82,0.164,899.0,536.0,942.0
83,0.166,899.0,536.0,941.0
84,0.168,899.0,536.0,940.0
85,0.17,899.0,536.0,938.0
86,0.172,899.0,536.0,936.0
87,0.174,899.0,536.0,935.0
88,0.176,899.0,536.0,935.0
89,0.178,899.0,536.0,936.0
90,0.18,899.0,536.0,936.0
91,0.182,899.0,535.0,935.0
92,0.184,900.0,535.0,934.0
93,0.186,900.0,535.0,932.0
94,0.188,900.0,535.0,932.0
95,0.19,900.0,535.0,934.0
96,0.192,900.0,535.0,934.0
97,0.194,900.0,535.0,935.0
98,0.196,900.0,534.0,935.0
99,0.198,900.0,534.0,936.0
100,0.2,900.0,534.0,938.0
101,0.202,900.0,534.0,934.0
102,0.204,899.0,535.0,933.0
103,0.206,899.0,535.0,933.0
104,0.208,899.0,535.0,933.0
105,0.21,900.0,535.0,933.0
106,0.212,900.0,535.0,933.0
107,0.214,900.0,535.0,933.0
108,0.216,899.0,535.0,935.0
