,timeStamps,Actual pupil (z),Predicted pupil (z),Predicted pupil - luminance (z),Predicted pupil - contrast (z)
0,0.0,,2.0703688955054127,2.080280371944149,0.8290369751892487
1,0.04,,2.0703688955054127,2.080280371944149,0.8290369751892487
2,0.08,-1.8178102287955973,2.0703688955054127,2.080280371944149,0.8290369751892487
3,0.12,-1.8228408872919195,2.0703688955054127,2.080280371944149,0.8290369751892487
4,0.16,-1.8027182533066302,2.0703688955054127,2.080280371944149,0.8290369751892487
5,0.2,-1.8127795702992748,2.0703688955054127,2.080280371944149,0.8290369751892487
6,0.24,-1.8178102287955973,2.0703688955054127,2.080280371944149,0.8290369751892487
7,0.28,-1.8379328627808866,2.062053064323771,2.071852019315985,0.8259887131620546
8,0.32,-1.8681168137588209,1.9578211876327427,1.9716842932362073,0.7665760799806076
9,0.36,-1.8781781307514658,1.597816515318077,1.6428856082977683,0.4948689447959849
10,0.4,-1.8781781307514658,0.9259003980174401,1.0650911691369336,-0.15122159118532968
11,0.44,-1.8228408872919195,0.054971703465005586,0.36804406644329934,-1.189639250405274
12,0.48,-1.7901416070658243,-0.8432165561748168,-0.29434831486651647,-2.479299974621624
13,0.52,-1.7855463520623585,-1.6381114112250488,-0.8334351012478654,-3.8031998217060394
14,0.56,-1.786589459101571,-2.2773732112895217,-1.2419393036625659,-4.964861817216829
15,0.6,-1.7874790555967681,-2.7706629344076084,-1.5604717199431666,-5.848450994826491
16,0.64,-1.7398350221026004,-3.1403602166191473,-1.8232789620645415,-6.417377650249176
17,0.68,-1.7071357418765052,-3.3940421156429754,-2.0363404668319474,-6.6810046744971165
18,0.72,-1.747381009847084,-3.5326897592278677,-2.192041732682435,-6.673037894911103
19,0.76,-1.7247430466136333,-3.5604660962469565,-2.281753705838238,-6.444770688433133
20,0.8,-1.7071357418765052,-3.484921191987726,-2.295918316636737,-6.065633875420042
21,0.84,-1.7071357418765052,-3.3203917667089957,-2.2291953454231286,-5.617851845081397
22,0.88,-1.6970744248838603,-3.0947007710831174,-2.0930246870107956,-5.176540649425152
23,0.92,-1.6794671201467322,-2.845566329396372,-1.9175209124942283,-4.786955164719534
24,0.96,-1.6593444861614426,-2.6061673640561347,-1.7373259721541439,-4.4573294937831855
25,1.0,-1.6014919134537353,-2.394171014441738,-1.5766235146858427,-4.169824301584197
26,1.04,-1.5612466454831564,-2.211970825283408,-1.4449602593630095,-3.897734937279428
27,1.08,-1.4782407802938373,-2.053632960432221,-1.3415795473204017,-3.6185217339236013
28,1.12,-1.429844839427517,-1.911922999289657,-1.261776132605873,-3.3193570271173667
29,1.16,-1.253285578912564,-1.7826205878606665,-1.2017560345857845,-2.9968210656703884
30,1.2,-1.089572104867971,-1.6656149695181564,-1.1603635866398723,-2.6549148547123758
31,1.24,-1.0229661863766628,-1.562597241651631,-1.1370071792341985,-2.303188875044227
32,1.28,-1.012904869384018,-1.4752159818862234,-1.130273344857348,-1.9541945223381356
33,1.32,-1.010389540135857,-1.4056421944398807,-1.138983834730134,-1.6218145608765917
34,1.36,-1.0204508571285016,-1.3565364768603208,-1.1625460445204603,-1.3197648318794104
35,1.4,-1.0405734911137912,-1.3332478937596557,-1.2033807279709057,-1.0616291217239735
36,1.44,-1.0682421128435642,-1.3398943404253065,-1.2626927161045682,-0.8604163331174006
37,1.48,-1.1386713317920774,-1.3668944843303883,-1.3277620288741065,-0.7242695485992081
38,1.52,-1.1839472582589785,-1.395672996303141,-1.3779197412058322,-0.6535156514690238
39,1.56,-1.1990392337479456,-1.4159872387025692,-1.4044239069191067,-0.6380503964015687
40,1.6,-1.2241925262295577,-1.4289448825843283,-1.4135707863689366,-0.658240113747384
41,1.64,-1.2015545629961069,-1.438557650033882,-1.4159186684091838,-0.6904077916044662
42,1.68,-1.176401270514495,-1.4462819075571403,-1.4186043134273398,-0.7131608726330723
43,1.72,-1.1562786365292055,-1.4508778433256966,-1.4241208295576093,-0.7115206212493249
44,1.76,-1.1361560025439161,-1.4503070953037858,-1.4320932672839786,-0.6781898695708514
45,1.8,-1.1311253440475937,-1.4433113231269934,-1.4412388915784458,-0.6127358985654955
46,1.84,-1.1260946855512715,-1.4297092316179023,-1.4502093440939192,-0.5196033141365588
47,1.88,-1.1361560025439161,-1.409844021698649,-1.4575298352437334,-0.40597780796674005
48,1.92,-1.1462173195365608,-1.3839525018319065,-1.4611783227367625,-0.2807081473656515
49,1.96,-1.161309295025528,-1.3516657693950493,-1.4580449763959307,-0.1542566246296177
50,2.0,-1.1839472582589785,-1.3119575868390576,-1.4438258654181095,-0.03888926289689461
51,2.04,-1.1562786365292055,-1.2643196486474984,-1.4145578444523108,0.05222474631734538
52,2.08,-1.1587939657773667,-1.2116769751962648,-1.370833473498322,0.10882522419964037
53,2.12,-1.108487380814143,-1.1628721634008932,-1.3217436832999618,0.1281692709196416
54,2.16,-1.055665466602758,-1.1323774336740147,-1.2841102177122872,0.11329418460151472
55,2.2,-1.0053588816395345,-1.136994572865198,-1.2768199253776509,0.06523685837541383
56,2.24,-0.9500216381799884,-1.1865182870515516,-1.3098864279639229,-0.01925846573732767
57,2.28,-0.9273836749465377,-1.2727996462875557,-1.374657973611368,-0.13872526311532493
58,2.32,-0.9122916994575706,-1.3719962255842812,-1.4481210600446381,-0.27996340941087733
59,2.36,-0.9877515769024062,-1.4589283267854942,-1.507408647094858,-0.4234653209471203
60,2.4,-1.0179355278803404,-1.5181617107503977,-1.5399818423041585,-0.551549481017599
61,2.44,-1.0456041496101134,-1.545951325846682,-1.5447349955346243,-0.6524232180531719
62,2.48,-1.0682421128435642,-1.5465160437406655,-1.5278467190910734,-0.7202631630929258
63,2.52,-1.124170961742278,-1.5274005809672613,-1.4980872822126257,-0.7534832283282045
64,2.56,-1.1878945644481183,-1.4956136901647263,-1.4629702330017742,-0.7530645904540413
65,2.6,-1.2500885954381513,-1.4508541167278601,-1.4203193089991286,-0.7261437856816185
66,2.64,-1.3013746496106091,-1.3881934855800804,-1.3599177110873863,-0.6911404170669571
