,timeStamps,Predicted pupil (z),Predicted pupil - luminance (z),Predicted pupil - contrast (z)
0,0.0,2.822402204458916,2.8563601016643427,1.071986737783332
1,0.04,2.822402204458916,2.8563601016643427,1.071986737783332
2,0.08,2.822402204458916,2.8563601016643427,1.071986737783332
3,0.12,2.822402204458916,2.8563601016643427,1.071986737783332
4,0.16,2.822402204458916,2.8563601016643427,1.071986737783332
5,0.2,2.822402204458916,2.8563601016643427,1.071986737783332
6,0.24,2.6481351868425276,2.8560265201579176,0.41903062163247323
7,0.28,2.3290555756405142,2.8202044738118435,-0.6591487865870523
8,0.32,1.8861824095425281,2.550489936498042,-1.4223149814490528
9,0.36,1.07387111451547,1.8195318640604186,-2.034597169034674
10,0.4,-0.006367491876305996,0.7547936801297706,-2.5398777361932408
11,0.44,-1.015551364529474,-0.25648165190143635,-2.9566814791572735
12,0.48,-1.738110463645151,-0.9712472398156154,-3.2860759949620246
13,0.52,-2.1795838272119243,-1.387324781856443,-3.556111695573183
14,0.56,-2.4285698313078705,-1.6018317969954887,-3.775595561201205
15,0.6,-2.5625630372458112,-1.6991318924779333,-3.9541721947608464
16,0.64,-2.6273216547307174,-1.7288894027468633,-4.098035912670422
17,0.68,-2.648866871086191,-1.7187958009585527,-4.212545881074057
18,0.72,-2.6431130493426385,-1.6850447208355686,-4.303453937787596
19,0.76,-2.6194021603611235,-1.6371164855266775,-4.374221777651586
20,0.8,-2.581919461873151,-1.5800264053947162,-4.423840026938688
21,0.84,-2.5325213150792667,-1.5163496700248051,-4.450692111989287
22,0.88,-2.4736410179475063,-1.4489475093017665,-4.454373380627726
23,0.92,-2.409145248930683,-1.382482544830091,-4.433854379965834
24,0.96,-2.3440384322766428,-1.3224015800290616,-4.389761964557809
25,1.0,-2.2845687634684806,-1.2732960281823045,-4.330242476444024
26,1.04,-2.2359780827353126,-1.2380190989950015,-4.26545916459566
27,1.08,-2.2000203642266185,-1.2177751766273703,-4.1979805223522675
28,1.12,-2.174442508546517,-1.2135463258422152,-4.116076550404942
29,1.16,-2.1608972477129056,-1.2253870783515717,-4.02576859634149
30,1.2,-2.157359820751379,-1.2482572321857734,-3.9362578949606157
31,1.24,-2.1558838515480643,-1.2744380177454215,-3.8434489252103075
32,1.28,-2.1533883711872766,-1.3011363828130078,-3.745088208013424
33,1.32,-2.150854877054303,-1.3295636820867462,-3.640821701524724
34,1.36,-2.1479881104487024,-1.3591839615006,-3.5313277389522746
35,1.4000000000000001,-2.142815248626064,-1.387067768965502,-3.418966659431635
36,1.44,-2.133360357294889,-1.4107047280326632,-3.304690204876721
37,1.48,-2.119195408504543,-1.429798264288739,-3.1878804598492834
38,1.52,-2.1015762621407017,-1.445682866131422,-3.068802688477266
39,1.56,-2.081665860891862,-1.4594939170070267,-2.948037096391936
40,1.6,-2.0596450171364293,-1.4713717972734255,-2.8257943835108668
41,1.6400000000000001,-2.0354716877110155,-1.4810393072442347,-2.702840750196259
42,1.68,-2.0094586543700785,-1.488324138077479,-2.5809245080398533
43,1.72,-1.9818809752538342,-1.4931068282532316,-2.46147622465784
44,1.76,-1.9527795760974092,-1.4951745779457781,-2.3453588374050076
45,1.8,-1.9226842959662327,-1.4942211916927806,-2.2355816174216834
46,1.84,-1.8918857045575648,-1.4898542450514711,-2.1345432275179945
47,1.8800000000000003,-1.8603317100411942,-1.4811246819914545,-2.0452116740227293
48,1.92,-1.8255746988264407,-1.4661459440926181,-1.9646889740880413
49,1.96,-1.7818302509344053,-1.4426499829273012,-1.8788249025511659
50,2.0,-1.7337352544285007,-1.4105626065060026,-1.8052701760296663
51,2.04,-1.6898318786778876,-1.3764611491514624,-1.75416126213365
52,2.08,-1.661875009978507,-1.3543692198370385,-1.7228718496095123
53,2.12,-1.6587764421980182,-1.3592984732296265,-1.6948112988552966
54,2.16,-1.6815753971589749,-1.3977525498353134,-1.6522012696997945
55,2.2,-1.7287227099718454,-1.4612023879730713,-1.6176575613299835
56,2.24,-1.7805620424250381,-1.5274355877260508,-1.591446313603617
57,2.2800000000000002,-1.81406054963563,-1.5718531135322609,-1.5691162376834789
58,2.32,-1.815873732828278,-1.581230194393338,-1.5446646351540316
59,2.36,-1.7877931553701218,-1.5583311040032848,-1.5156014493866774
60,2.4,-1.7409658370532766,-1.5161629290357241,-1.4804073005452791
61,2.44,-1.6874876439645445,-1.4690392532122631,-1.4367690780073292
62,2.48,-1.6374847725570896,-1.426928228802462,-1.3894657759155298
63,2.52,-1.5956707469437899,-1.3949694457454904,-1.3390564722075218
64,2.56,-1.5633393028915359,-1.3751103745157969,-1.2839053151537851
65,2.6,-1.5405178426005863,-1.36650853539106,-1.2269234178617934
66,2.64,-1.5239261664059913,-1.3654451088663389,-1.168195428979103
67,2.68,-1.5089883100834047,-1.3669079947870746,-1.1072536015635732
68,2.72,-1.4927904097180507,-1.3673460878196855,-1.0449984874583707
69,2.7600000000000007,-1.47481122453343,-1.3659983399415714,-0.9820105653525093
70,2.8000000000000003,-1.4559637831090646,-1.3637273979583724,-0.9188411723518073
71,2.84,-1.4371859267024594,-1.3613487384753349,-0.8562920077998041
72,2.88,-1.4189223259475388,-1.3590703775604602,-0.7953386458056791
73,2.92,-1.4010139600595757,-1.3566095892523664,-0.7363266611422183
74,2.96,-1.3826823526227638,-1.3533765650958753,-0.6783002637300349
75,3.0,-1.3632751302420536,-1.3488366597651067,-0.6205930828229346
76,3.04,-1.2721000758427077,-1.3431087944067646,-0.297483000512254
77,3.08,-1.1833086350897075,-1.3370728277906279,0.015653774618083142
78,3.12,-1.1683257302531276,-1.3316498739521556,0.05381188126721001
79,3.16,-1.1545169486896911,-1.3272579123623722,0.09099984807321032
80,3.2,-1.141935042730084,-1.3239775047372466,0.12728822129196998
81,3.24,-1.1315152725460336,-1.322010304787795,0.15983891273153336
82,3.2800000000000002,-1.12504695497905,-1.321939513275244,0.1838801676883447
83,3.3200000000000003,-1.120260204621147,-1.324427599346685,0.2101396688879012
84,3.36,-1.1181058617481399,-1.329736365757328,0.23592134889341992
85,3.4,-1.1176628694261772,-1.3376223151626463,0.26387050878572477
86,3.44,-1.1184469109713375,-1.3471837750229891,0.29279933605663544
87,3.48,-1.1192912500702388,-1.3567050072820386,0.3213677594014144
88,3.52,-1.1185359160481714,-1.3645684051737448,0.3504140447318953
89,3.56,-1.1158315129340857,-1.370465949647134,0.38022283304961674
90,3.6,-1.1126235029579836,-1.3750349219833948,0.4074932111028595
91,3.64,-1.1093526642997802,-1.3785227961979798,0.4313957406352404
92,3.68,-1.1054919235606482,-1.380391485558494,0.45211503856058655
93,3.72,-1.1005693103689385,-1.380040782342563,0.4694218362721803
94,3.7600000000000007,-1.094313744078503,-1.377419895493673,0.48416426426000314
95,3.8000000000000003,-1.0861106825103386,-1.3729718690972674,0.5001256678825752
96,3.84,-1.0759626771138195,-1.3673636759740997,0.5195197136429509
97,3.88,-1.064972373007884,-1.3613656382688644,0.5407756368856473
98,3.92,-1.0557463598943277,-1.3557584541578866,0.556712576523035
99,3.96,-1.0475887106115254,-1.3512588967059231,0.5723317662037956
100,4.0,-1.0401723605648765,-1.348537371953154,0.5910954486138233
101,4.04,-1.0349226688453002,-1.3480077904107366,0.6090335934174844
102,4.08,-1.0318493735905157,-1.3493204950853808,0.624944127617705
103,4.12,-1.0300351061509887,-1.3514153169397163,0.6387362702582059
104,4.16,-1.0284553539506849,-1.3535460730735214,0.6517679990098826
105,4.2,-1.0269368754098753,-1.3558525321226953,0.6651554286533061
106,4.24,-1.025936868563381,-1.358615596089097,0.6781189196980996
107,4.28,-1.0255268025608164,-1.3616266814412554,0.6896949519682274
108,4.32,-1.0252350163555854,-1.3645845072646683,0.7006495185749673
109,4.36,-1.0248773398790205,-1.3675368226434832,0.7118330198340697
110,4.4,-1.0246663637712325,-1.3705780193064563,0.7227621885692459
111,4.44,-1.0243007097909762,-1.3734082822397107,0.7335687899258425
112,4.48,-1.0232492524741652,-1.3755045466622584,0.7445027224115965
113,4.520000000000001,-1.021264155462323,-1.3765852594417014,0.7555556679247413
114,4.5600000000000005,-1.0183765935170501,-1.3767062276403381,0.7667966432659884
115,4.6000000000000005,-1.0145425338979401,-1.3760722349290764,0.7790735266482799
116,4.64,-1.009967024045329,-1.3749452759947203,0.7924900389527528
117,4.68,-1.0047519106368161,-1.373586997412715,0.8075360791715798
118,4.72,-1.0600774673121562,-1.372069276019075,0.5948262445994875
119,4.76,-1.1444233957706211,-1.3582835329743423,0.23230223240724815
120,4.8,-1.1246688090180137,-1.263475778613036,-0.009579670719835842
121,4.84,-0.9476400251635709,-1.0099084822953273,-0.19037033226646152
