,timeStamps,Actual pupil (z),Predicted pupil (z),Predicted pupil - luminance (z),Predicted pupil - contrast (z)
0,0.0,,2.075791918526834,2.031055362886372,0.9275510005581507
1,0.04,,2.075791918526834,2.031055362886372,0.9275510005581507
2,0.08,-1.8178102287955973,2.075791918526834,2.031055362886372,0.9275510005581507
3,0.12,-1.8228408872919195,2.075791918526834,2.031055362886372,0.9275510005581507
4,0.16,-1.8027182533066302,2.075791918526834,2.031055362886372,0.9275510005581507
5,0.2,-1.8127795702992748,2.075791918526834,2.031055362886372,0.9275510005581507
6,0.24,-1.8178102287955973,2.075791918526834,2.031055362886372,0.9275510005581507
7,0.28,-1.8379328627808866,2.0676315270254744,2.0225171554860975,0.9259061815260153
8,0.32,-1.8681168137588209,1.9737121514795397,1.9282022796681288,0.8926860141825683
9,0.36,-1.8781781307514658,1.6705172908290855,1.6376650151196392,0.7350700173980385
10,0.4,-1.8781781307514658,1.138333005635877,1.1594078739639242,0.3437818387968347
11,0.44,-1.8228408872919195,0.48040679050240837,0.6175338320714736,-0.3184802950747996
12,0.48,-1.7901416070658243,-0.18148180819857754,0.13010880910629205,-1.1933630882506923
13,0.52,-1.7855463520623585,-0.7695200173920097,-0.2501737548278619,-2.1613518073107842
14,0.56,-1.786589459101571,-1.2529390614256328,-0.5256675644537377,-3.091356183868482
15,0.6,-1.7874790555967681,-1.6272658963409272,-0.7208667801438783,-3.877008735810875
16,0.64,-1.7398350221026004,-1.8961809658123903,-0.8583246949247121,-4.451441435267812
17,0.68,-1.7071357418765052,-2.064695969559641,-0.951177404039944,-4.787133350654827
18,0.72,-1.747381009847084,-2.1399799869868157,-1.0057235888143652,-4.889875901185003
19,0.76,-1.7247430466136333,-2.1307064756766723,-1.022675177977709,-4.791650150524527
20,0.8,-1.7071357418765052,-2.0496545066185865,-1.002270905046519,-4.5425043742008935
21,0.84,-1.7071357418765052,-1.9194426124143562,-0.9542532258809725,-4.197330651655116
22,0.88,-1.6970744248838603,-1.7657333589372681,-0.8939712367272264,-3.8028802108339312
23,0.92,-1.6794671201467322,-1.6058720454673185,-0.8309699198488879,-3.393750654614191
24,0.96,-1.6593444861614426,-1.4479473292269494,-0.7674074737385057,-2.994364921110474
25,1.0,-1.6014919134537353,-1.2959548750181122,-0.7031276565163302,-2.6212063964627035
26,1.04,-1.5612466454831564,-1.1534482723913961,-0.6394167114632852,-2.2837826337793588
27,1.08,-1.4782407802938373,-1.0241826670674241,-0.5796096994821464,-1.9849976464521626
28,1.12,-1.429844839427517,-0.9115730223363157,-0.5282809444553168,-1.7219202054386287
29,1.16,-1.253285578912564,-0.8197700309052051,-0.49168140683328904,-1.4884891112842913
30,1.2,-1.089572104867971,-0.7531678911127905,-0.4759656666123955,-1.2799616991153484
31,1.24,-1.0229661863766628,-0.7115961219415552,-0.4814616643066538,-1.0944732655614637
32,1.28,-1.012904869384018,-0.6897029291369637,-0.5025289781239313,-0.931092756091185
33,1.32,-1.010389540135857,-0.6815634389341754,-0.5329761302598269,-0.7885980729633155
34,1.36,-1.0204508571285016,-0.6818699989034032,-0.5674511594146102,-0.6651912283787401
35,1.4,-1.0405734911137912,-0.6850853300060672,-0.6006033516444619,-0.5581549021600216
36,1.44,-1.0682421128435642,-0.696109340127506,-0.6379223355802328,-0.4671649731353625
37,1.48,-1.1386713317920774,-0.7349641461169806,-0.6989671673597466,-0.4012822283147446
38,1.52,-1.1839472582589785,-0.8142799367873389,-0.793122451119551,-0.3768992318347284
39,1.56,-1.1990392337479456,-0.9236296032829225,-0.9062010560601986,-0.40376166567827854
40,1.6,-1.2241925262295577,-1.0410525199770753,-1.015663586917578,-0.4758598089334866
41,1.64,-1.2015545629961069,-1.148372630833695,-1.1068125058285085,-0.5739129857931298
42,1.68,-1.176401270514495,-1.23578053961645,-1.1756084663142208,-0.6734433043614867
43,1.72,-1.1562786365292055,-1.2997565294956799,-1.2243264942905359,-0.7522040741723747
44,1.76,-1.1361560025439161,-1.3403326442251962,-1.257329186715236,-0.7945520497071333
45,1.8,-1.1311253440475937,-1.3593888615424021,-1.2788082687615194,-0.7928237860886896
46,1.84,-1.1260946855512715,-1.359579970842865,-1.2917654221692705,-0.7467446961992656
47,1.88,-1.1361560025439161,-1.343838474731879,-1.2978712944320907,-0.6619583161205078
48,1.92,-1.1462173195365608,-1.315034617156903,-1.2975937765753256,-0.5482081432648335
49,1.96,-1.161309295025528,-1.275379125627944,-1.2899892387254441,-0.4177128745470645
50,2.0,-1.1839472582589785,-1.2258945549730826,-1.2724056333097762,-0.28413355121761297
51,2.04,-1.1562786365292055,-1.1678843041321916,-1.2424052453272882,-0.16147526807671136
52,2.08,-1.1587939657773667,-1.1069323026640958,-1.2030102076525406,-0.06105908293106951
53,2.12,-1.108487380814143,-1.0547652492672532,-1.165566947473413,0.011413951914211812
54,2.16,-1.055665466602758,-1.0266870334119838,-1.1463970046883953,0.05397656795304485
55,2.2,-1.0053588816395345,-1.0378704068839362,-1.161307642093426,0.06332481822912438
56,2.24,-0.9500216381799884,-1.0944937318769201,-1.2154121799194246,0.03332914839512437
57,2.28,-0.9273836749465377,-1.1837155751875752,-1.2939215538731315,-0.038313558591762005
58,2.32,-0.9122916994575706,-1.2796317058043516,-1.3704411886912153,-0.14381899738879458
59,2.36,-0.9877515769024062,-1.3597377335083976,-1.4244799364076692,-0.267606641231521
60,2.4,-1.0179355278803404,-1.4136540424443833,-1.4495100290486764,-0.3919225775681649
61,2.44,-1.0456041496101134,-1.4416122373619122,-1.4501243750796342,-0.5010860214846581
62,2.48,-1.0682421128435642,-1.4490146878777157,-1.435494860136621,-0.5834631799644809
63,2.52,-1.124170961742278,-1.441966350676885,-1.414312880558869,-0.6319563204129073
64,2.56,-1.1878945644481183,-1.4259037044045109,-1.3933735750130918,-0.6436595436822201
65,2.6,-1.2500885954381513,-1.4077998703281573,-1.3799067979361157,-0.6202173635671028
66,2.64,-1.3013746496106091,-1.3948660894793217,-1.3799055499435133,-0.5686942135741667
67,2.68,-1.332375831061271,-1.388370449088957,-1.3920303108909045,-0.4989845038320212
68,2.72,-1.327321025404166,-1.3834934947642978,-1.4086434425700036,-0.4194979919714336
69,2.76,-1.2870757574335872,-1.3738395850647775,-1.4211249243395727,-0.3359163091516344
