,timeStamps,Actual pupil (z),Predicted pupil (z),Predicted pupil - luminance (z),Predicted pupil - contrast (z)
0,0.0,,1.9681416569683017,1.9338073425358562,0.86376913613729
1,0.04,,1.9681416569683017,1.9338073425358562,0.86376913613729
2,0.08,-1.817814550589334,1.9681416569683017,1.9338073425358562,0.86376913613729
3,0.12,-1.8228452291291004,1.9681416569683017,1.9338073425358562,0.86376913613729
4,0.16,-1.8027225149700346,1.9681416569683017,1.9338073425358562,0.86376913613729
5,0.2,-1.8127838720495675,1.9681416569683017,1.9338073425358562,0.86376913613729
6,0.24,-1.817814550589334,1.9681416569683017,1.9338073425358562,0.86376913613729
7,0.28,-1.8379372647484,1.9649220320634244,1.9307250276833738,0.8619357179103024
8,0.32,-1.8681213359869993,1.9187744605712829,1.8884631626448363,0.825721818366237
9,0.36,-1.8781826930665322,1.7414021182660204,1.7315730351332037,0.6577907102647234
10,0.4,-1.8781826930665322,1.3734254077639976,1.4172219480881443,0.2517197396813576
11,0.44,-1.8228452291291004,0.8444614126664931,0.9813251065054508,-0.41480023666039484
12,0.48,-1.790145818620618,0.24208443888861594,0.5025154253513083,-1.264924956523023
13,0.52,-1.7855505453084684,-0.34551845422948,0.04992742155089774,-2.1692108684450737
14,0.56,-1.786593656503689,-0.8753081323559242,-0.3528348446478039,-3.0119662625612547
15,0.6,-1.7874832565432686,-1.3578035535775057,-0.7273627073587494,-3.7394910801828334
16,0.64,-1.739839033222953,-1.8124110546789018,-1.0953949875386855,-4.34646372152834
17,0.68,-1.7071396227144706,-2.229057033500838,-1.446076411450769,-4.833423437951055
18,0.72,-1.7473850510326028,-2.576503797553895,-1.7475500894457252,-5.192692166701578
19,0.76,-1.7247469976036534,-2.825626579344175,-1.970223654379682,-5.416542759688134
20,0.8,-1.7071396227144706,-2.958999655655674,-2.094018298221508,-5.51264807446115
21,0.84,-1.7071396227144706,-2.9706428182979665,-2.106032399151386,-5.514783807889864
22,0.88,-1.6970782656349377,-2.8705477948050246,-2.007470712889514,-5.471957197336137
23,0.92,-1.6794708907457547,-2.6882067812708543,-1.8228806386864072,-5.420064995542098
24,0.96,-1.6593481765866887,-2.46306287860442,-1.5933142503508082,-5.36451677650835
25,1.0,-1.6014953733793738,-2.228972758299124,-1.3585622311551608,-5.286367310784075
26,1.04,-1.5612499450612416,-2.0057964753745003,-1.1448541877349812,-5.159537120379448
27,1.08,-1.4782437491550942,-1.8005223334771896,-0.9633311283267355,-4.964946469401803
28,1.12,-1.4298476154668325,-1.6130555125606012,-0.8151234050842789,-4.696214711923784
29,1.16,-1.2532876514941356,-1.4423080345779073,-0.6980497465985157,-4.358627034473863
30,1.2,-1.089573525172733,-1.2900745094432386,-0.6112553675465763,-3.9665353294536665
31,1.24,-1.0229673413062244,-1.160645782825736,-0.5552286866947087,-3.5411352524211104
32,1.28,-1.0129059842266912,-1.058167952073838,-0.5296955582679401,-3.1067729132581405
33,1.32,-1.0103906449568079,-0.9852896172830649,-0.5328822491695524,-2.687283383238288
34,1.36,-1.020452002036341,-0.9423096218594826,-0.5612496448396231,-2.3026552192841363
