,timeStamps,Actual pupil (z),Predicted pupil (z),Predicted pupil - luminance (z),Predicted pupil - contrast (z)
0,0.0,,2.0722120647929185,2.082459123325829,0.8279279101873974
1,0.04,,2.0722120647929185,2.082459123325829,0.8279279101873974
2,0.08,-1.8178102287955973,2.0722120647929185,2.082459123325829,0.8279279101873974
3,0.12,-1.8228408872919195,2.0722120647929185,2.082459123325829,0.8279279101873974
4,0.16,-1.8027182533066302,2.0722120647929185,2.082459123325829,0.8279279101873974
5,0.2,-1.8127795702992748,2.0722120647929185,2.082459123325829,0.8279279101873974
6,0.24,-1.8178102287955973,2.0722120647929185,2.082459123325829,0.8279279101873974
7,0.28,-1.8379328627808866,2.0639807615438053,2.074132840938779,0.8248495331302049
8,0.32,-1.8681168137588209,1.9604728625620538,1.9749028346865896,0.7649316670194128
9,0.36,-1.8781781307514658,1.602096448934717,1.6484340691705224,0.49122134539350304
10,0.4,-1.8781781307514658,0.9316956097847126,1.0733534072372175,-0.15888796145870793
11,0.44,-1.8228408872919195,0.06098173405509476,0.37785055195774797,-1.2024837093870508
12,0.48,-1.7901416070658243,-0.8384166336256182,-0.28473382504017536,-2.49683043981082
13,0.52,-1.7855463520623585,-1.6351945248515385,-0.825276538282006,-3.823476041618537
14,0.56,-1.786589459101571,-2.276050715700644,-1.235580602679143,-4.9853028548064895
15,0.6,-1.7874790555967681,-2.770047528916111,-1.5555244986966235,-5.8666780734158515
16,0.64,-1.7398350221026004,-3.1396066354154066,-1.8192236436123452,-6.431670892885095
17,0.68,-1.7071357418765052,-3.392719611435669,-2.032927673317843,-6.690378249939224
18,0.72,-1.747381009847084,-3.530744998925884,-2.189273950197649,-6.677167675111565
19,0.76,-1.7247430466136333,-3.558086209202601,-2.2797604391682165,-6.443897610857952
20,0.8,-1.7071357418765052,-3.482472287015275,-2.294915401350539,-6.060465418572387
21,0.84,-1.7071357418765052,-3.318305608808789,-2.2293983564059583,-5.60941433825264
22,0.88,-1.6970744248838603,-3.0932543767159353,-2.094461805264279,-5.165947737285828
23,0.92,-1.6794671201467322,-2.8447398591788517,-1.9199342706647757,-4.775159479327537
24,0.96,-1.6593444861614426,-2.605713520027457,-1.7402817475621735,-4.444976894467183
25,1.0,-1.6014919134537353,-2.3937943976365745,-1.5797077415738634,-4.157259183520048
26,1.04,-1.5612466454831564,-2.2114599425084673,-1.4478989976672825,-3.885104226706619
27,1.08,-1.4782407802938373,-2.0528950715408314,-1.3442480073735346,-3.6058954141268784
28,1.12,-1.429844839427517,-1.910954310682828,-1.2641457475341042,-3.30681096898367
29,1.16,-1.253285578912564,-1.7814558233223623,-1.2038318910765515,-2.9844663970240766
