,timeStamps,Actual pupil (z),Predicted pupil (z),Predicted pupil - luminance (z),Predicted pupil - contrast (z)
0,0.0,0.7395232794415675,1.9075096164530043,1.7823346895673333,1.3388376897872158
1,0.016,0.7878694668677722,1.9075096164530043,1.7823346895673333,1.3388376897872158
2,0.032,0.513907738119279,1.9075096164530043,1.7823346895673333,1.3388376897872158
3,0.05,0.3957281688552231,1.9075096164530043,1.7823346895673333,1.3388376897872158
4,0.066,0.32589478701737196,1.9075096164530043,1.7823346895673333,1.3388376897872158
5,0.082,0.21845881495913932,1.9075096164530043,1.7823346895673333,1.3388376897872158
6,0.1,0.15399723172419974,1.9075096164530043,1.7823346895673333,1.3388376897872158
7,0.116,0.10027924569508344,1.9075096164530043,1.7823346895673333,1.3388376897872158
8,0.132,0.046561259665967136,1.9075096164530043,1.7823346895673333,1.3388376897872158
9,0.15,0.01433046804849735,1.9075096164530043,1.7823346895673333,1.3388376897872158
10,0.166,-0.028643920774795696,1.9075096164530043,1.7823346895673333,1.3388376897872158
11,0.182,-0.06087471239226548,1.9075096164530043,1.7823346895673333,1.3388376897872158
12,0.2,-0.082361906803912,1.9075096063651804,1.7823346895673333,1.3388376555433066
13,0.216,-0.0984773026126469,1.9075093104311447,1.7823346891964993,1.3388366520407038
14,0.232,-0.11459269842138178,1.907505421088885,1.7823323439103786,1.338830208036882
15,0.25,-0.12533629562720505,1.9071311468156311,1.7818992705251153,1.3388077406898273
16,0.266,-0.13070809423011667,1.8973296144864895,1.7703734639220532,1.3387508768841951
17,0.282,-0.14145169143593994,1.8209170641441212,1.6804057421055256,1.3386325314440006
18,0.3,-0.13047066073186775,1.5653807878529435,1.3794763205621945,1.3384165825272332
19,0.316,-0.1253072879147493,1.1055675778620562,0.8379720442134312,1.3380580358285448
20,0.332,-0.11492789865420361,0.5889049919326051,0.22957104974543188,1.3375035809589555
21,0.35,-0.09954951361378762,0.18703623007449408,-0.24352155819665783,1.336692449153066
22,0.366,-0.08484367775845712,-0.0436564415825984,-0.5148680041471869,1.335557494096906
23,0.382,-0.07128310936526693,-0.1409802045921147,-0.628977492287594,1.3340264262616832
24,0.4,-0.059930887377733874,-0.163857413321118,-0.6552301388926715,1.33202313592772
25,0.416,-0.05556254075384586,-0.15538527941402708,-0.6443642627646707,1.3294690480543236
26,0.432,-0.07161830959808874,-0.1387110490980662,-0.6236180922040133,1.326284469848002
27,0.45,-0.08773370540682364,-0.12358810963346324,-0.6044528654471584,1.322389895829879
28,0.466,-0.12533629562720505,-0.11268807735009774,-0.5899884673751989,1.3177072361555968
29,0.482,-0.15756708724467483,-0.10548636057250711,-0.5795807517710586,1.312160950190396
30,0.5,-0.22740046908252604,-0.10077286868032508,-0.5717793436551049,1.3056790776040332
31,0.516,-0.24351586489126092,-0.09779772340381317,-0.5656775243814639,1.2981941464299014
32,0.532,-0.2918620523174656,-0.09571986614678565,-0.5602629843986765,1.28964391034435
33,0.55,-0.3079774481262005,-0.09345905372530253,-0.554243654192616,1.2799718382814738
34,0.566,-0.3455800383465819,-0.09096937063448013,-0.5475478875332017,1.269127323067475
35,0.582,-0.3778108299640517,-0.08876926626845554,-0.5407708660461688,1.2570656490537577
36,0.6,-0.3992980243756982,-0.08348106080304189,-0.529920372603225,1.2437477965596146
37,0.616,-0.43690061459607965,-0.06435391722458811,-0.502320983132667,1.2291401373168354
38,0.632,-0.45838780900772613,-0.017646609359528206,-0.4417765526316662,1.2132140981839985
39,0.65,-0.47987500341937267,0.06362543844193891,-0.3400514788198666,1.1959459124977172
40,0.666,-0.4852468020222843,0.17456069962075205,-0.20291280144958346,1.1773164876092987
41,0.682,-0.49599039922810756,0.3026060391497062,-0.04514224287333641,1.1573113652393245
42,0.7,-0.5067339964339308,0.4333560147552033,0.11629496489913502,1.1359207489586898
43,0.716,-0.49599039922810756,0.550465321566648,0.2621469190816284,1.1131395816232108
44,0.732,-0.49061860062519597,0.6380977532125438,0.37375971807083463,1.0889676539580677
45,0.75,-0.47987500341937267,0.6907473993194033,0.4446461248331268,1.063409718136964
46,0.766,-0.45301601040481454,0.7159822170180158,0.4837172732979495,1.0364755865547173
47,0.782,-0.42078521878734476,0.7248270210460747,0.5039544564692359,1.008180213091368
48,0.8,-0.3992980243756982,0.7239828052423308,0.5132439964809419,0.978543750059897
49,0.816,-0.38318262856696333,0.7163097369163273,0.5149461724434437,0.9475915674477688
50,0.832,-0.3455800383465819,0.7035206586881264,0.5110679902280565,0.9153542304992178
51,0.85,-0.3187210453320238,0.6876307307761027,0.5039707824095387,0.8818674423525215
52,0.866,-0.2918620523174656,0.6709159212242511,0.4963213447423275,0.8471719513443723
53,0.882,-0.27037485790581905,0.6545561505548975,0.4894937002795305,0.8113134142675382
54,0.9,-0.22740046908252604,0.638306342131396,0.4831816829995024,0.7743422121357506
55,0.916,-0.21128507327379115,0.6220145523067351,0.4771872691116684,0.7363132276339497
56,0.932,-0.184426080259233,0.6061418577176731,0.4720330563715445,0.6972855931454582
57,0.95,-0.1521952886417632,0.5905298467249368,0.4675105523645725,0.6573224038530402
58,0.966,-0.13607989283302832,0.5740390556475131,0.46225438728505475,0.6164903998516532
59,0.982,-0.13070809423011667,0.5559080156678924,0.45534329462080314,0.5748596322984075
60,1.0,-0.11459269842138178,0.5365957271594137,0.44729260991208836,0.5325031138755527
61,1.016,-0.09310550400973526,0.5167142276838386,0.43879703749412746,0.4894964468795554
62,1.032,-0.0984773026126469,0.49631951359324467,0.4298955397950476,0.4459174329296664
63,1.05,-0.10384910121555853,0.476029234399937,0.4212880421417117,0.40184567861278847
64,1.066,-0.10384910121555853,0.457019737928013,0.41433208878516115,0.3573622017243328
65,1.082,-0.017900323568972434,0.43891847433774406,0.40856037451673705,0.31254903831569736
66,1.1,-0.082361906803912,0.41960748273552145,0.40144940043995747,0.2674888531246357
67,1.116,-0.03401571937770733,0.3977831449133768,0.39143481934459945,0.22226456627805669
68,1.134,-0.082361906803912,0.37404547840268587,0.37919467022476966,0.1769590035144572
69,1.15,-0.10384910121555853,0.34943583944081785,0.36592700834633846,0.13165456035320752
70,1.166,-0.11459269842138178,0.3244010074208133,0.3521297794195587,0.08643287861906546
71,1.184,-0.12533629562720505,0.29947594944214384,0.33840517332612746,0.0413745481309474
72,1.2,-0.12533629562720505,0.2757363460810802,0.3259927643846089,-0.003441169030647822
73,1.216,-0.13607989283302832,0.25361205402750747,0.31537194027765153,-0.047936595739545576
74,1.234,-0.15756708724467483,0.23231375655777253,0.30558661583922775,-0.09203587192989969
75,1.25,-0.1521952886417632,0.21129979422014894,0.295973132775628,-0.13566516473778986
76,1.266,-0.16293888584758648,0.19093678130178046,0.28693848787111265,-0.17875286138201713
77,1.284,-0.1897978788621446,0.1715431270528128,0.27883373146544466,-0.22122975773164083
78,1.3,-0.20054147606796788,0.1533398935406661,0.27189616484001655,-0.2630292989143934
79,1.316,-0.20054147606796788,0.13678316699019308,0.26664096899002987,-0.3040879191836396
80,1.334,-0.23277226768543766,0.12162276081313149,0.2627525506279812,-0.34434541605058655
81,1.35,-0.25425946209708417,0.10557100204528619,0.257516569272949,-0.38374525616552796
82,1.366,-0.286490253714554,0.08278075562078034,0.24402722347171188,-0.42223477741836596
83,1.384,-0.3079774481262005,0.04465789916426278,0.21214432954506984,-0.4597653004372644
84,1.4,-0.34020823974367026,-0.012404692535379989,0.15760344486745967,-0.4962921732303065
85,1.416,-0.388554427169875,-0.07973737195941166,0.09060272578313364,-0.5317747654631911
86,1.434,-0.42078521878734476,-0.14167202503115306,0.02958542629872608,-0.5661764235929413
87,1.45,-0.45301601040481454,-0.18787875837767443,-0.013291905726206029,-0.5994643984584768
88,1.466,-0.43690061459607965,-0.21845077807752838,-0.038149101795177165,-0.6316097535534241
89,1.484,-0.5819391768746937,-0.23946580181803595,-0.052154054069554125,-0.6625872614433941
90,1.5,-0.6517725587125449,-0.2568017984144139,-0.062238116265170736,-0.6923752907841701
91,1.516,-0.7592085307707774,-0.2737158757047284,-0.07224424085767608,-0.7209556834808939
92,1.534,-0.8773881000348334,-0.29147411541783275,-0.083668926254364,-0.7483136263696053
93,1.55,-0.925734287461038,-0.3104547876729814,-0.09696177355667077,-0.7744375212417394
94,1.566,-0.9740804748872427,-0.33059779287466595,-0.1120549460298251,-0.7993188480151813
95,1.584,-1.0224266623134475,-0.3514418392805402,-0.12840701166545676,-0.8229520208865619
96,1.6,-1.0546574539309173,-0.37246999376830603,-0.14541003066625893,-0.8453342379606698
97,1.616,-1.0922600441512986,-0.39349380555269786,-0.1628420806128536,-0.8664653269317842
98,1.634,-1.1352344329745916,-0.41430111708422246,-0.18045245444786742,-0.8863475929354445
99,1.65,-1.1674652245920614,-0.4343219179648683,-0.1975681104688762,-0.9049856705447625
100,1.666,-1.2104396134153546,-0.45298748160282015,-0.21351675791605737,-0.9223863882383214
101,1.684,-1.2426704050328243,-0.47017197923195786,-0.22814707579943888,-0.9385586890275267
102,1.7,-1.274901196650294,-0.4863253640882218,-0.24198520860947,-0.9535137250171689
103,1.716,-1.3017601896648523,-0.502241522818668,-0.25596155410634924,-0.9672651753746079
104,1.734,-1.3447345784881453,-0.5192401297784599,-0.2716248477452604,-0.9798296139633287
105,1.75,-1.3877089673114382,-0.5417008577397049,-0.2941272076776092,-0.9912267481992326
106,1.766,-1.4145679603259964,-0.5814068347272459,-0.33734040194289683,-1.0014795043517983
107,1.784,-1.4467987519434662,-0.6539227996595235,-0.4195895797903721,-1.0106139765749902
108,1.8,-1.4521705505463778,-0.7611410243813385,-0.5430936102606062,-1.0186592668905459
109,1.816,-1.495144939369671,-0.8813510595895337,-0.6822680010539226,-1.0256472462930717
110,1.834,-1.5166321337813173,-0.9855610439535263,-0.8029503967137476,-1.031612249536976
111,1.85,-1.5166321337813173,-1.0591722254150246,-0.8879318143464897,-1.0365907191602737
