,timeStamps,Actual pupil (z),Predicted pupil (z),Predicted pupil - luminance (z),Predicted pupil - contrast (z)
0,0.0,-0.7942661552008049,4.042723464048397,5.128836833201762,0.9354571248703408
1,0.04,-0.7392047917660146,4.042723464048397,5.128836833201762,0.9354571248703408
2,0.08,-0.5690151229675716,4.042723464048397,5.128836833201762,0.9354571248703408
3,0.12,-0.3237417767580508,4.042723464048397,5.128836833201762,0.9354571248703408
4,0.16,-0.09348516603074566,4.042723464048397,5.128836833201762,0.9354571248703408
5,0.2,0.2669164855424277,4.037796177366798,5.128836833200417,0.9311630014156307
6,0.24,0.627318137115601,3.9426925743180026,5.128836826867089,0.8482803474949981
7,0.28,0.8175301198903314,3.5657588561263784,5.128836157289754,0.5197834768264114
8,0.32,0.9727030532065588,2.7859603150284813,5.128821191774128,-0.15980231079850435
9,0.36,0.8525691693488343,1.649664637388601,5.128678430603999,-1.150010374890422
10,0.4,0.6823795005503914,0.3310211706467621,5.127883648025068,-2.2988053028408078
11,0.44,0.28193322102464324,-0.9563362091565122,5.124832261579544,-3.4191958731935346
12,0.48,-0.04342938109002714,-2.031737764854561,5.115906727808797,-4.351903419650629
13,0.52,-0.2686804133232605,-2.7843087325398486,5.094694728912947,-4.997065385380014
14,0.56,-0.6340876433905057,-3.1787182346521443,5.051898070456379,-5.319199526787076
15,0.6,-0.8042773121889486,-3.2410832647502352,4.976262957603859,-5.335388629742323
16,0.64,-0.8192940476711642,-3.036551121774801,4.856432464364664,-5.096678301549721
17,0.68,-0.8343107831533797,-2.6474545809568704,4.683224154565719,-4.670188413740421
18,0.72,-0.8843665680940983,-2.1559558029106807,4.451668472025644,-4.125015769268999
19,0.76,-1.0695729723747567,-1.6333681114200802,4.162250099049575,-3.52355437810592
20,0.8,-1.0395395014103257,-1.1367820121673675,3.8210830342618336,-2.918643373346062
21,0.84,-1.0845897078569724,-0.7082921389301854,3.439075820263242,-2.3524721088941916
22,0.88,-0.9844781379755353,-0.37199433534451504,3.0303872413230644,-1.8531839378421653
23,0.92,-0.894377725082242,-0.13343343701422328,2.6105810773174305,-1.4334639306569759
24,0.96,-0.759227105742302,0.014359941311483652,2.1948682140623017,-1.09491297801808
25,1.0,-0.6040541724260745,0.08322382284145284,1.7967157282111066,-0.8340091150435978
26,1.04,-0.2987138842876916,0.08818376947993695,1.4269545675572504,-0.6431223742435398
27,1.08,-0.023407067113739737,0.04865647745812891,1.093377093970224,-0.5092627926345317
28,1.12,0.24689417156614027,-0.014412292966096198,0.800720028252821,-0.41656609677990836
29,1.16,0.5272065672341639,-0.08287615683014785,0.5508952808230849,-0.35018239795340844
30,1.2,0.6423348725978165,-0.14375823090451512,0.3433544866644256,-0.2985256812699293
31,1.24,0.8275412768784751,-0.18933780237270678,0.17552483493275456,-0.253569236515235
32,1.28,0.9026249542895529,-0.21615457276717914,0.04329827974828922,-0.21022469096860957
33,1.32,0.8525691693488343,-0.22413724169505692,-0.058430102108013984,-0.16585420140350152
34,1.36,0.6573516080800321,-0.21608577876368784,-0.13519563032422527,-0.12010507449553597
35,1.4,0.4521228898230862,-0.1979597614688085,-0.1924183303711326,-0.07543638283762298
36,1.44,0.23688301457799657,-0.1795623550564157,-0.23494309813670763,-0.03794706381051587
37,1.48,-0.028412645607811586,-0.1725197583787718,-0.2667227800403139,-0.01577491239390284
38,1.52,-0.21862462838254196,-0.18552524676091545,-0.29067135705836983,-0.015025847633389012
39,1.56,-0.3788031401928412,-0.22119931771678075,-0.30867530622456957,-0.03703180154055146
40,1.6,-0.47891471007427827,-0.2757222818735789,-0.3217188930687333,-0.07796730590382397
41,1.64,-0.4488812391098472,-0.33997745276778224,-0.3300662826493057,-0.1297538959046167
42,1.68,-0.4739091315802064,-0.40148240635017884,-0.33345266592244743,-0.18164676666690854
43,1.72,-0.3938198756750568,-0.4475360258844452,-0.33125930363942985,-0.22288909953937683
44,1.76,-0.2511208439660574,-0.46914761278059164,-0.32266977030492117,-0.2460574433148422
45,1.8,-0.17039087401366576,-0.4628872027743735,-0.30681702234826197,-0.24860005848671046
46,1.84,-0.10966319572358574,-0.4307776502652696,-0.28293143817699473,-0.23266817482668561
47,1.88,-0.06614970187462035,-0.3791530985764005,-0.2504923205475687,-0.20404470881529502
48,1.92,-0.03705227408858017,-0.31682848777368755,-0.20937429984166434,-0.17047512403243664
49,1.96,-0.01959281630125613,-0.2528280775535122,-0.15997014667645051,-0.1396258765411691
50,2.0,-0.010983221291453545,-0.19414539846882234,-0.10326707410871773,-0.11709371699592502
51,2.04,-0.008425370680982992,-0.14464528775107188,-0.04085745535702374,-0.10544340873577451
52,2.08,-0.25366367784104493,-0.10587389091180083,0.025123962260095372,-0.10494532195249105
53,2.12,-0.3737975616987694,-0.0789810238280807,0.0921303084967738,-0.11531648819883758
54,2.16,-0.3337529337461946,-0.06555737059551195,0.15738253937391591,-0.13654101107789296
55,2.2,-0.318736198263979,-0.06664700716012738,0.21807425839052877,-0.1681128251536868
56,2.24,-0.3737975616987694,-0.08100185690899393,0.27157384167978743,-0.2076164393203601
57,2.28,-0.5339760735090686,-0.10377005469505039,0.3155972971756368,-0.24967106451837653
58,2.32,-0.5690151229675716,-0.12701538030235437,0.34833093113816266,-0.28644519105380273
59,2.36,-0.4739091315802064,-0.1420275673801112,0.3684939985409129,-0.3097016300544155
60,2.4,-0.418847768145416,-0.14292670326245166,0.37534610249611927,-0.3139424762774368
61,2.44,-0.2686804133232605,-0.13021882552958866,0.3686569190920328,-0.29949253011402766
62,2.48,-0.06345169506631455,-0.10979307839677911,0.34866117465899454,-0.2716026044223719
63,2.52,0.04667103180326619,-0.08840934524441522,0.31601815596107574,-0.23649657332537916
64,2.56,0.18682722963727805,-0.07097473575302721,0.27178617706991487,-0.19898495173696093
65,2.6,0.11174355222620026,-0.05983164742746524,0.21741256627729968,-0.16183938984085403
66,2.64,-0.10349632301888936,-0.05520263560773694,0.1547298587550617,-0.12617845567780164
67,2.68,-0.15855768645367974,-0.05571642055999034,0.08594010671695781,-0.09191813323299323
68,2.72,-0.4038310326632005,-0.05826165599214203,0.01356576890867479,-0.05761960303987519
69,2.76,-0.6140653294142182,-0.05865721123448527,-0.059648466403983344,-0.021023856644120282
70,2.8,-0.6991601638134397,-0.053030479058601684,-0.1308843008529349,0.019822096452630163
71,2.84,-0.8993833035763138,-0.038577170869392094,-0.19743387203505106,0.06599592936591035
72,2.88,-0.9994948734577509,-0.015010866639193042,-0.25689268843306023,0.11653406300704458
73,2.92,-1.0695729723747567,0.013939716060855575,-0.30733161332090997,0.16721357323455727
74,2.96,-1.0545562368925412,0.043090453457778476,-0.3474227047371741,0.21284648614207854
75,3.0,-1.0095060304458945,0.07009500417927195,-0.3765046388806069,0.2510542955037629
76,3.04,-0.959450245505176,0.09639507639449436,-0.39458759256547427,0.28309858271731675
77,3.08,-0.8693498326118827,0.12562979509757607,-0.40230888444388757,0.31247240125454095
78,3.12,-0.7742438412245175,0.16150070122356203,-0.4008530500670839,0.3429992999965883
79,3.16,-0.7442103702600864,0.20621572482320494,-0.391843812505162,0.3774227414679916
80,3.2,-0.7191824777897271,0.25982813710020614,-0.3772085316098508,0.4167616069112215
81,3.24,-0.6691266928490086,0.32046372923157246,-0.3590165695772614,0.4604266291484029
82,3.28,-0.6040541724260745,0.38482405747822734,-0.33930214044470036,0.5065695881493154
83,3.32,-0.5790262799557153,0.4485068565638923,-0.31989303812242575,0.5522761350340211
84,3.36,-0.6040541724260745,0.5061029739068177,-0.30227146847355296,0.5935800525094047
85,3.4,-0.6491043788727212,0.5516363834696156,-0.2874887600504176,0.625803693358549
86,3.44,-0.6340876433905057,0.5805151659461508,-0.2761440917516707,0.6452475239190423
87,3.48,-0.5489928089912842,0.5919436940664997,-0.26842287912819685,0.6513117081355098
88,3.52,-0.49893702405056567,0.589326629216513,-0.2641769395289848,0.64688863762481
89,3.56,-0.353775247722482,0.5786102175879143,-0.26302050931550297,0.6369658193763689
90,3.6,-0.2786915703114042,0.5661200833774387,-0.2644182266948217,0.6267859075622955
91,3.65,-0.21862462838254196,0.5570335361513064,-0.26775266329022035,0.6205493948069333
92,3.69,-0.14854652946553604,0.5546379052751121,-0.27237259177891093,0.6207926052673668
93,3.73,-0.07346285205445825,0.5600081447871341,-0.27763111308779553,0.6281259649274674
94,3.77,-0.048434959584099,0.5721289985817726,-0.28292239758156634,0.6413590062662731
95,3.81,-0.08347400904260197,0.5883133563600864,-0.2877197674667112,0.6578841794805558
96,3.85,-0.0684572735603864,0.6048483272300184,-0.2916108993488878,0.6742576662851227
97,3.89,-0.24365252085290123,0.6182688809539305,-0.29432189728754227,0.6873215026149478
98,3.93,-0.23864694235882936,0.6264170191042466,-0.29572238349363705,0.6951292133342669
99,3.97,-0.24365252085290123,0.6288026032304231,-0.29580785709732854,0.6972513725405655
100,4.01,-0.2686804133232605,0.6267501048580051,-0.2946615768150596,0.6948842637636581
