,parameterName,value
0,r,0.503579794891408
1,rmse,0.9964137746022905
2,rf_lum_param1,13.194346817522113
3,rf_lum_param2,0.7659288381556273
4,rf_contrast_param1,5.0375261937945375
5,rf_contrast_param2,0.418698206188018
6,amplitudeWeightContrast,1.9819517964976034
7,weight1,0.0005408580521656972
8,weight2,0.0011972967032063046
9,weight3,0.002206829632741386
10,weight4,0.0009437106245136633
11,weight5,0.00047160845916135427
12,weight6,-0.0002992258525770073
13,weight7,-0.00022679721381501346
14,weight8,0.0007648422731535266
15,weight9,0.0009064542015120772
16,weight10,0.002068039382730933
17,weight11,0.0015388247860431727
18,weight12,0.0010100983957142947
19,weight13,8.67000713138533e-05
20,weight14,0.00011306507812334529
21,weight15,0.00012568565385771876
22,weight16,-6.057281208738537e-05
23,weight17,0.002370314105321686
24,weight18,0.0018558600069506445
25,weight19,0.0011538501246075303
26,weight20,0.0009931047493665231
27,weight21,6.184884902597279e-05
28,weight22,0.00027240256186041636
29,weight23,0.0004024254541025662
30,weight24,0.00039743130568933085
31,weight25,0.00024586501469417
32,weight26,2.6164738559515316e-05
33,weight27,0.00197927597028493
34,weight28,0.0017571829473534168
35,weight29,0.0007639817537701317
36,weight30,0.0002262000267800886
37,weight31,0.001015451704732775
38,weight32,0.00047087414192863804
39,weight33,0.00016466485534634434
40,weight34,0.0004158312588281815
41,weight35,0.0003420176929050448
42,weight36,0.0003566668861312979
43,weight37,0.0004415824033721512
44,weight38,0.00011352909330836801
45,weight39,0.0006583049922188431
46,weight40,0.0014405615291758615
47,weight41,0.00019207604543869657
48,weight42,0.0007535966509118713
49,weight43,0.0016720128855340628
50,weight44,0.0009642188766498831
