,Actual pupil (z),Predicted pupil (z),Predicted pupil - luminance (z),Predicted pupil - contrast (z)
0,-3.9563828352181933,2.91160472328414,2.9128613178887184,1.0361756905390789
1,-3.2094233348798946,2.91160472328414,2.9128613178887184,1.0361756905390789
2,-2.526773528625865,2.91160472328414,2.9128613178887184,1.0361756905390789
3,-1.905488939141056,2.91160472328414,2.9128613178887184,1.0361756905390789
4,-1.342625337090769,2.91160472328414,2.9128613178887184,1.0361756905390789
5,-0.835237459888856,2.911535447209045,2.9127873256319763,1.0361756886541766
6,-0.3803818221416595,2.909717244758409,2.9108457602874935,1.0361734465037837
7,0.024886838736968116,2.897740814202091,2.8980729145495125,1.0360736081510211
8,0.3835125454314371,2.8557117672439856,2.853415090444763,1.0348495197075491
9,0.6984401472273161,2.7570430725289907,2.749436728949801,1.0274427175939627
10,0.9701600665916587,2.5821198545503603,2.5679548099761815,0.9992959727497397
11,0.7945073205120289,2.326739808294471,2.309724715962605,0.9228245937677346
12,0.47833237756869523,1.9996851818221206,1.9910778468401065,0.7614620265767069
13,0.07123130724296502,1.6179037195069792,1.6366216887633624,0.4809844225901495
14,-0.28420719070640355,1.2036013137149504,1.273761073507859,0.06199604555890471
15,-0.5528525670634844,0.7814151097294899,0.9279598142258437,-0.4910279968097135
16,-0.7905003999947482,0.3754947157109092,0.6188056361447147,-1.145441030767186
17,-0.9392886084386699,0.0068406201713774465,0.35745824868784154,-1.8419548897286528
18,-1.0777443024073192,-0.30851966982447854,0.1463365813430589,-2.5032421736393085
19,-1.1769364413699337,-0.5600430209177394,-0.01853883824453692,-3.0491315059253807
20,-1.2430645340116768,-0.7426748493281872,-0.14408045505363387,-3.4148606967691415
21,-1.3153921353385831,-0.8569474415445959,-0.23741513611784187,-3.5659299535759437
22,-1.3484561816594547,-0.9086459155095246,-0.3045185918114754,-3.5034086047621806
23,-1.3753207192951626,-0.9075336888235588,-0.34990967977902826,-3.258382121202098
24,-1.4063182627209798,-0.8657408363882755,-0.3772473684001621,-2.879756659398843
25,-1.3980522511407618,-0.7961437338675502,-0.3900356860473964,-2.42144658985911
26,-1.3918527424555984,-0.7104963706534067,-0.3914387840137817,-1.9328479557075056
27,-1.3422566729742913,-0.6181046429288491,-0.3838802085095543,-1.4534978721004455
28,-1.3071261237583653,-0.5255686101257743,-0.36911536287334645,-1.0112451865522176
29,-1.2823280890177116,-0.4371809502316295,-0.34853923872664333,-0.6228704344158793
30,-1.226532510851241,-0.3554757048236362,-0.3234040184115678,-0.29602432842455
31,-1.1583379153144435,-0.2818358282249153,-0.29503406792027786,-0.0315103718630035
32,-1.1232073660985176,-0.2170020100743366,-0.26497684805232397,0.17465013415728073
33,-1.0612122792468837,-0.1612580620843796,-0.23488472165233865,0.329554731316998
34,-0.9764856605496504,-0.11444714717729218,-0.20629049088520307,0.4421478452918014
35,-0.8814265273771448,-0.07609205085177473,-0.18054012012927614,0.5221911223009752
36,-0.7781013826244214,-0.04781835180962446,-0.1611957953642817,0.5792897808825923
37,-0.6954412668222427,-0.037631540705126136,-0.15837184274743363,0.6216700828606019
38,-0.6293131741804997,-0.057092201166871186,-0.18513478958129653,0.6531135605043991
39,-0.670643232081589,-0.11246500346948607,-0.24680442144932843,0.6664060193416503
40,-0.8111654289452929,-0.20139458050310666,-0.3364883763992346,0.6385244167626116
41,-1.024015227135903,-0.31596100994431925,-0.43969791132398744,0.5377503363284745
42,-1.2038009790056419,-0.4463091155657981,-0.5418479767673149,0.34273215223257414
43,-1.3629217019248359,-0.5820758509284963,-0.6330314612691852,0.059579791718327745
44,-1.5075769045786487,-0.7123078418567719,-0.7082976139294458,-0.27620734295361243
45,-1.6088355464363175,-0.8256420279253088,-0.7652620929706139,-0.6133275343135326
46,-1.6790966448681695,-0.9123792863664669,-0.8026827693113513,-0.9038195067443737
47,-1.7348922230346402,-0.967630522195111,-0.8211414048893908,-1.1171530963455563
48,-1.7576237548802394,-0.9926271261607854,-0.8236563574697829,-1.244369081291238
49,-1.7679562693555118,-0.9928884608763476,-0.8145659502865676,-1.293657004279392
50,-1.7534907490901304,-0.9750754028249756,-0.7977186539021813,-1.2821969535337385
