,Actual pupil (z),Predicted pupil (z),Predicted pupil - luminance (z),Predicted pupil - contrast (z)
0,-3.9563828352181933,3.4040495035521356,3.46037626171033,1.0722800238174997
1,-3.2094233348798946,3.4040495035521356,3.46037626171033,1.0722800238174997
2,-2.526773528625865,3.4040495035521356,3.46037626171033,1.0722800238174997
3,-1.905488939141056,3.4040495035521356,3.46037626171033,1.0722800238174997
4,-1.342625337090769,3.4040495035521356,3.46037626171033,1.0722800238174997
5,-0.835237459888856,3.403927308926862,3.4602417960935616,1.0722800214508577
6,-0.3803818221416595,3.4006504106763247,3.4566348469210397,1.0722772066940243
7,0.024886838736968116,3.377768453957341,3.4314445388108625,1.0721523736875318
8,0.3835125454314371,3.2935590763379716,3.3389292073363004,1.0706388599090098
9,0.6984401472273161,3.091007277816629,3.117641380941018,1.0616312075305454
10,0.9701600665916587,2.7369159811405614,2.735150223083341,1.028062109299159
11,0.7945073205120289,2.255152054730516,2.2255630303123186,0.9385978124904302
12,0.47833237756869523,1.714393379504934,1.674612257807743,0.7529418577877346
13,0.07123130724296502,1.1826126361555411,1.1661860780788107,0.43452433595615564
14,-0.28420719070640355,0.6952196559442592,0.7439585447742366,-0.03658745562653864
15,-0.5528525670634844,0.25647469290588665,0.41107028991085715,-0.6556928576534911
16,-0.7905003999947482,-0.1412763451153991,0.15087399152569755,-1.3906304705150456
17,-0.9392886084386699,-0.5007387004312077,-0.05388049069665547,-2.183207148959276
18,-1.0777443024073192,-0.8139866987101511,-0.21315205169920345,-2.9554509717904285
19,-1.1769364413699337,-1.0664763235735746,-0.3311336027961316,-3.6218740735492356
20,-1.2430645340116768,-1.2448251872366278,-0.4108048905255777,-4.106909254752948
21,-1.3153921353385831,-1.342985465053615,-0.45677331030882445,-4.3621590090761515
22,-1.3484561816594547,-1.364254941115032,-0.4753406335240254,-4.375807442019114
23,-1.3753207192951626,-1.3195518345729422,-0.4731279358047871,-4.170482211460472
24,-1.4063182627209798,-1.2242905008790625,-0.4561616864201507,-3.7924738193725345
25,-1.3980522511407618,-1.0953610077799565,-0.42964941129150314,-3.2984831869478226
26,-1.3918527424555984,-0.9484316896219613,-0.3975963735349337,-2.744614525560875
27,-1.3422566729742913,-0.7961820534166162,-0.3625419153134807,-2.1792515027587815
28,-1.3071261237583653,-0.6477639398748687,-0.3257904567115585,-1.6395623623067457
29,-1.2823280890177116,-0.5091654911889119,-0.28797854642566467,-1.1507824089644612
30,-1.226532510851241,-0.3839479765174592,-0.24963343690286263,-0.7272815509191648
31,-1.1583379153144435,-0.2739996832637668,-0.2115468411885492,-0.3744847786282754
32,-1.1232073660985176,-0.1800440238941917,-0.17483125909692174,-0.09098118030674247
33,-1.0612122792468837,-0.10182025542217102,-0.1406541615312663,0.12950889735981375
34,-0.9764856605496504,-0.0382068788473467,-0.10996797051587341,0.29639010849930963
35,-0.8814265273771448,0.012357067373110342,-0.08360457315803463,0.42059461646480295
36,-0.7781013826244214,0.048345590305868574,-0.06580380969714612,0.5130618011336676
37,-0.6954412668222427,0.059178133274624935,-0.07041004440518822,0.5831315679997676
38,-0.6293131741804997,0.029263460657023847,-0.11565508061721538,0.6352277459438006
39,-0.670643232081589,-0.048768478028795914,-0.20801829185143408,0.6620851606483475
40,-0.8111654289452929,-0.1688916678773785,-0.33542004029403066,0.6400879171801359
41,-1.024015227135903,-0.3175828324117929,-0.47551739352922284,0.5372596861332757
42,-1.2038009790056419,-0.48114173006958144,-0.6083790858637194,0.3332882982337309
43,-1.3629217019248359,-0.6482705478191055,-0.7233372806361824,0.036660734082250165
44,-1.5075769045786487,-0.8089639920017617,-0.8181267669720464,-0.31421553552131914
45,-1.6088355464363175,-0.9530867015989105,-0.8941195242288212,-0.6653024204316661
46,-1.6790966448681695,-1.070892847742508,-0.9524692960756725,-0.9661731747492401
47,-1.7348922230346402,-1.1553188744083982,-0.9932822893639086,-1.1840749725951132
48,-1.7576237548802394,-1.2041378683602768,-1.0167858658725724,-1.3085140106379705
49,-1.7679562693555118,-1.220097263101274,-1.0242623280929073,-1.3476028626377676
