,parameterName,value
0,r,0.6295811835677344
1,rmse,0.6521627839060977
2,rf_lum_param1,3.1403476231816825
3,rf_lum_param2,1.8715598517380254
4,rf_contrast_param1,12.706643119323548
5,rf_contrast_param2,1.9869308260549716
6,amplitudeWeightContrast,0.03739780734246016
7,weight1,0.010413951412894796
8,weight2,0.010263408379236574
9,weight3,0.39327285246769017
10,weight4,0.396581009419806
11,weight5,0.04471622975792129
12,weight6,0.13390150737978443
13,weight7,0.7582173177621099
14,weight8,0.545352108950115
15,weight9,0.005736212230964589
16,weight10,0.03006121927235815
17,weight11,0.03206130639964113
18,weight12,0.12249208614319215
19,weight13,0.09330362905094111
20,weight14,0.6622844128036094
21,weight15,0.02726808694678473
22,weight16,0.01055311741104413
23,weight17,0.09077855366076408
24,weight18,0.014416670491605445
25,weight19,0.0009366441058601647
26,weight20,1e-07
27,weight21,0.6694922526124443
28,weight22,1.113962565274988
29,weight23,0.005515814375582026
30,weight24,0.31481540881430625
31,weight25,0.13595692376669738
32,weight26,3.791240971063159
33,weight27,1.5207835237154943
34,weight28,0.23343474132786912
35,weight29,1.597193258082966
36,weight30,0.8319898044140783
37,weight31,0.26399127418550883
38,weight32,0.05662722577549224
39,weight33,1.1605037043943676
40,weight34,0.033845125215840696
41,weight35,2.07807327956273
42,weight36,2.2576798824777304
43,weight37,0.2563018894017616
44,weight38,1.6773956098238636
45,weight39,0.0700548893338434
46,weight40,1.7612494985915448
47,weight41,1.9137818902464234
48,weight42,0.0973771842189767
49,weight43,4.784632401373861
50,weight44,0.5103670983332265
